lens_id,label,value,category
canon_85mm_1p4_is_usm,Lens type,Prime lens,Principal specifications
canon_85mm_1p4_is_usm,Max Format size,35mm FF,Principal specifications
canon_85mm_1p4_is_usm,Focal length,85 mm,Principal specifications
canon_85mm_1p4_is_usm,Image stabilization,Yes (4 stops),Principal specifications
canon_85mm_1p4_is_usm,Lens mount,Canon EF,Principal specifications
canon_85mm_1p4_is_usm,Maximum aperture,F1.4,Aperture
canon_85mm_1p4_is_usm,Minimum aperture,F22,Aperture
canon_85mm_1p4_is_usm,Aperture ring,No,Aperture
canon_85mm_1p4_is_usm,Number of diaphragm blades,9,Aperture
canon_85mm_1p4_is_usm,Elements,14,Optics
canon_85mm_1p4_is_usm,Groups,10,Optics
canon_85mm_1p4_is_usm,Special elements / coatings,One molded glass aspherical element + air sphere and fluorine coatings.,Optics
canon_85mm_1p4_is_usm,Minimum focus,0.85 m (33.46″),Focus
canon_85mm_1p4_is_usm,Maximum magnification,0.12×,Focus
canon_85mm_1p4_is_usm,Autofocus,Yes,Focus
canon_85mm_1p4_is_usm,Motor type,Ring-type ultrasonic,Focus
canon_85mm_1p4_is_usm,Full time manual,Yes,Focus
canon_85mm_1p4_is_usm,Focus method,Internal,Focus
canon_85mm_1p4_is_usm,Distance scale,Yes,Focus
canon_85mm_1p4_is_usm,DoF scale,No,Focus
canon_85mm_1p4_is_usm,Focus distance limiter,No,Focus
canon_85mm_1p4_is_usm,Weight,950 g (2.09 lb),Physical
canon_85mm_1p4_is_usm,Diameter,87 mm (3.43″),Physical
canon_85mm_1p4_is_usm,Length,105 mm (4.13″),Physical
canon_85mm_1p4_is_usm,Materials,Magnesium alloy,Physical
canon_85mm_1p4_is_usm,Sealing,Yes,Physical
canon_85mm_1p4_is_usm,Colour,Black,Physical
canon_85mm_1p4_is_usm,Filter thread,77.0 mm,Physical
canon_85mm_1p4_is_usm,Hood supplied,Yes,Physical
canon_85mm_1p4_is_usm,Tripod collar,No,Physical
canon_ts-e_50_2p8_macro,Lens type,Prime lens,Principal specifications
canon_ts-e_50_2p8_macro,Max Format size,35mm FF,Principal specifications
canon_ts-e_50_2p8_macro,Focal length,50 mm,Principal specifications
canon_ts-e_50_2p8_macro,Image stabilization,No,Principal specifications
canon_ts-e_50_2p8_macro,Lens mount,Canon EF,Principal specifications
canon_ts-e_50_2p8_macro,Maximum aperture,F2.8,Aperture
canon_ts-e_50_2p8_macro,Minimum aperture,F32,Aperture
canon_ts-e_50_2p8_macro,Aperture ring,No,Aperture
canon_ts-e_50_2p8_macro,Number of diaphragm blades,9,Aperture
canon_ts-e_50_2p8_macro,Elements,12,Optics
canon_ts-e_50_2p8_macro,Groups,9,Optics
canon_ts-e_50_2p8_macro,Special elements / coatings,Molded glass aspherical and UD elements + SWC and ASC coatings,Optics
canon_ts-e_50_2p8_macro,Minimum focus,0.27 m (10.63″),Focus
canon_ts-e_50_2p8_macro,Maximum magnification,0.5×,Focus
canon_ts-e_50_2p8_macro,Autofocus,No,Focus
canon_ts-e_50_2p8_macro,Full time manual,Yes,Focus
canon_ts-e_50_2p8_macro,Focus method,Internal,Focus
canon_ts-e_50_2p8_macro,Distance scale,Yes,Focus
canon_ts-e_50_2p8_macro,Weight,945 g (2.08 lb),Physical
canon_ts-e_50_2p8_macro,Diameter,87 mm (3.43″),Physical
canon_ts-e_50_2p8_macro,Length,115 mm (4.53″),Physical
canon_ts-e_50_2p8_macro,Materials,Magnesium alloy,Physical
canon_ts-e_50_2p8_macro,Colour,Black,Physical
canon_ts-e_50_2p8_macro,Filter thread,77.0 mm,Physical
canon_ts-e_50_2p8_macro,Hood supplied,Yes,Physical
canon_ts-e_90_2p8_macro,Lens type,Prime lens,Principal specifications
canon_ts-e_90_2p8_macro,Max Format size,35mm FF,Principal specifications
canon_ts-e_90_2p8_macro,Focal length,90 mm,Principal specifications
canon_ts-e_90_2p8_macro,Image stabilization,No,Principal specifications
canon_ts-e_90_2p8_macro,Lens mount,Canon EF,Principal specifications
canon_ts-e_90_2p8_macro,Maximum aperture,F2.8,Aperture
canon_ts-e_90_2p8_macro,Minimum aperture,F45,Aperture
canon_ts-e_90_2p8_macro,Aperture ring,No,Aperture
canon_ts-e_90_2p8_macro,Number of diaphragm blades,9,Aperture
canon_ts-e_90_2p8_macro,Elements,11,Optics
canon_ts-e_90_2p8_macro,Groups,9,Optics
canon_ts-e_90_2p8_macro,Special elements / coatings,Molded glass aspherical and UD elements + ASC coating,Optics
canon_ts-e_90_2p8_macro,Minimum focus,0.39 m (15.35″),Focus
canon_ts-e_90_2p8_macro,Maximum magnification,0.5×,Focus
canon_ts-e_90_2p8_macro,Autofocus,No,Focus
canon_ts-e_90_2p8_macro,Full time manual,Yes,Focus
canon_ts-e_90_2p8_macro,Focus method,Internal,Focus
canon_ts-e_90_2p8_macro,Distance scale,Yes,Focus
canon_ts-e_90_2p8_macro,Weight,915 g (2.02 lb),Physical
canon_ts-e_90_2p8_macro,Diameter,67 mm (2.64″),Physical
canon_ts-e_90_2p8_macro,Length,117 mm (4.61″),Physical
canon_ts-e_90_2p8_macro,Materials,Magnesium alloy,Physical
canon_ts-e_90_2p8_macro,Colour,Black,Physical
canon_ts-e_90_2p8_macro,Filter thread,77.0 mm,Physical
canon_ts-e_90_2p8_macro,Hood supplied,Yes,Physical
fujifilm_gf_45_2p8_r_wr,Lens type,Prime lens,Principal specifications
fujifilm_gf_45_2p8_r_wr,Max Format size,APS-C / DX,Principal specifications
fujifilm_gf_45_2p8_r_wr,Focal length,45 mm,Principal specifications
fujifilm_gf_45_2p8_r_wr,Image stabilization,Yes,Principal specifications
fujifilm_gf_45_2p8_r_wr,Lens mount,Fujifilm G,Principal specifications
fujifilm_gf_45_2p8_r_wr,Maximum aperture,F2.8,Aperture
fujifilm_gf_45_2p8_r_wr,Minimum aperture,F32,Aperture
fujifilm_gf_45_2p8_r_wr,Aperture ring,Yes,Aperture
fujifilm_gf_45_2p8_r_wr,Number of diaphragm blades,9,Aperture
fujifilm_gf_45_2p8_r_wr,Elements,11,Optics
fujifilm_gf_45_2p8_r_wr,Groups,8,Optics
fujifilm_gf_45_2p8_r_wr,Special elements / coatings,"One aspherical, two ED elements + Nano GI, fluorine coatings",Optics
fujifilm_gf_45_2p8_r_wr,Minimum focus,45.00 m (1771.65″),Focus
fujifilm_gf_45_2p8_r_wr,Maximum magnification,0.14×,Focus
fujifilm_gf_45_2p8_r_wr,Autofocus,Yes,Focus
fujifilm_gf_45_2p8_r_wr,Full time manual,Yes,Focus
fujifilm_gf_45_2p8_r_wr,Focus method,Internal,Focus
fujifilm_gf_45_2p8_r_wr,Distance scale,No,Focus
fujifilm_gf_45_2p8_r_wr,DoF scale,No,Focus
fujifilm_gf_45_2p8_r_wr,Weight,490 g (1.08 lb),Physical
fujifilm_gf_45_2p8_r_wr,Diameter,84 mm (3.31″),Physical
fujifilm_gf_45_2p8_r_wr,Length,88 mm (3.46″),Physical
fujifilm_gf_45_2p8_r_wr,Materials,Magnesium alloy,Physical
fujifilm_gf_45_2p8_r_wr,Sealing,Yes,Physical
fujifilm_gf_45_2p8_r_wr,Colour,Black,Physical
fujifilm_gf_45_2p8_r_wr,Filter thread,62.0 mm,Physical
fujifilm_gf_45_2p8_r_wr,Hood supplied,Yes,Physical
fujifilm_gf_45_2p8_r_wr,Tripod collar,No,Physical
canon_ts-e_135_4p0_macro,Lens type,Prime lens,Principal specifications
canon_ts-e_135_4p0_macro,Max Format size,35mm FF,Principal specifications
canon_ts-e_135_4p0_macro,Focal length,135 mm,Principal specifications
canon_ts-e_135_4p0_macro,Image stabilization,No,Principal specifications
canon_ts-e_135_4p0_macro,Lens mount,Canon EF,Principal specifications
canon_ts-e_135_4p0_macro,Maximum aperture,F4,Aperture
canon_ts-e_135_4p0_macro,Minimum aperture,F45,Aperture
canon_ts-e_135_4p0_macro,Aperture ring,No,Aperture
canon_ts-e_135_4p0_macro,Number of diaphragm blades,9,Aperture
canon_ts-e_135_4p0_macro,Elements,11,Optics
canon_ts-e_135_4p0_macro,Groups,7,Optics
canon_ts-e_135_4p0_macro,Special elements / coatings,Molded glass aspherical and UD elements + SWC and ASC coatings,Optics
canon_ts-e_135_4p0_macro,Minimum focus,0.49 m (19.29″),Focus
canon_ts-e_135_4p0_macro,Maximum magnification,0.5×,Focus
canon_ts-e_135_4p0_macro,Autofocus,No,Focus
canon_ts-e_135_4p0_macro,Full time manual,Yes,Focus
canon_ts-e_135_4p0_macro,Focus method,Internal,Focus
canon_ts-e_135_4p0_macro,Distance scale,Yes,Focus
canon_ts-e_135_4p0_macro,Weight,1110 g (2.45 lb),Physical
canon_ts-e_135_4p0_macro,Diameter,89 mm (3.5″),Physical
canon_ts-e_135_4p0_macro,Length,139 mm (5.47″),Physical
canon_ts-e_135_4p0_macro,Materials,Magnesium alloy,Physical
canon_ts-e_135_4p0_macro,Colour,Black,Physical
canon_ts-e_135_4p0_macro,Filter thread,82.0 mm,Physical
canon_ts-e_135_4p0_macro,Hood supplied,Yes,Physical
voigtlander_65_2_macro,Lens type,Prime lens,Principal specifications
voigtlander_65_2_macro,Max Format size,35mm FF,Principal specifications
voigtlander_65_2_macro,Focal length,65 mm,Principal specifications
voigtlander_65_2_macro,Image stabilization,No,Principal specifications
voigtlander_65_2_macro,Lens mount,"Sony E, Sony FE",Principal specifications
voigtlander_65_2_macro,Maximum aperture,F2,Aperture
voigtlander_65_2_macro,Minimum aperture,F22,Aperture
voigtlander_65_2_macro,Aperture ring,Yes,Aperture
voigtlander_65_2_macro,Number of diaphragm blades,10,Aperture
voigtlander_65_2_macro,Elements,10,Optics
voigtlander_65_2_macro,Groups,8,Optics
voigtlander_65_2_macro,Minimum focus,3.10 m (122.05″),Focus
voigtlander_65_2_macro,Autofocus,No,Focus
voigtlander_65_2_macro,Full time manual,Yes,Focus
voigtlander_65_2_macro,Focus method,Extending front,Focus
voigtlander_65_2_macro,Distance scale,Yes,Focus
voigtlander_65_2_macro,DoF scale,Yes,Focus
voigtlander_65_2_macro,Weight,625 g (1.38 lb),Physical
voigtlander_65_2_macro,Diameter,78 mm (3.07″),Physical
voigtlander_65_2_macro,Length,91 mm (3.58″),Physical
voigtlander_65_2_macro,Materials,Metal,Physical
voigtlander_65_2_macro,Sealing,No,Physical
voigtlander_65_2_macro,Colour,black,Physical
voigtlander_65_2_macro,Filter thread,67.0 mm,Physical
voigtlander_65_2_macro,Hood supplied,Yes,Physical
voigtlander_65_2_macro,Tripod collar,No,Physical
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Lens type,Prime lens,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Max Format size,APS-C / DX,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Focal length,80 mm,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Image stabilization,Yes,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Lens mount,Fujifilm X,Principal specifications
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Maximum aperture,F2.8,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Minimum aperture,F22,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Aperture ring,Yes,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Number of diaphragm blades,9,Aperture
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Elements,16,Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Groups,12,Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Special elements / coatings,"One aspherical, one ED, three Super ED elements + fluorine coating",Optics
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Minimum focus,0.25 m (9.84″),Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Maximum magnification,1×,Focus
fujifilm_xf_80_2p8_r_lm_ois_wr_macro,Autofocus,Yes,Focus
